翔陽高校1年 夏

prefecture|県
Their plan is to buy this building.【名詞的用法】|彼らの計画は、このビルを買うことです。
She began to write a letter.【名詞的用法】|彼女は、手紙を書き始めました。

食べるためのパン【形容詞的用法】|bread to eat
話すべき言葉【形容詞的用法】|words to speak
room to study【形容詞的用法】|勉強する(ための)部屋
time to sleep【形容詞的用法】|眠る時間

あなたに伝える(話す)べき良いニュースがあります。【形容詞的用法】|I have good news to tell you.
京都には、多くの訪れるべき場所があります。【形容詞的用法】|There are many spots to visit in Kyoto.
They did not have time to eat lunch.【形容詞的用法】|彼らには、昼食を食べる時間がなかった。
He lost money to buy new shoes.【形容詞的用法】|彼は、新しい靴を買うためのお金をなくした。
We found problems to solve.【形容詞的用法】|私たちは、解決する(solve)べき問題を見つけた。

私は、レポートを書くためにコンピュータを使う。【副詞的用法】|I use a computer to write a report.
私たちは朝食を作る(調理する)ために早く起きる。【副詞的用法】|We get up early to cook breakfast.
I visited my uncle to borrow a camera.【副詞的用法】|私はカメラを借りるために叔父を訪ねた。
What will you do to solve the problem?【副詞的用法】|あなたは、その問題を解決する(solve)ために何をしますか。

彼は最初のバスに乗るために早起きをした。【副詞的用法】|He got up early to take the first bus.
私は、宿題を手伝ってくれる友達がたくさんいます。【形容詞的用法】|I have many friends to help my homework.
I need money to buy a new dictionary.【形容詞的用法】|私は、新しい辞書を買うお金が必要です。
He studied hard to pass the exam.【副詞的用法】|彼は、試験に合格するために、一生懸命勉強した。

To keep promises[a promise] is important.【名詞的用法】|約束を守ることは大切です。
I will go to the station to meet (my) friends.【副詞的用法】|私は、友達に会うために駅へ行くつもりです。
I want something to eat.【形容詞的用法】|私は何か食べるものが欲しい。

