My heart beats.|心臓がドキドキする。
I heard you were a Youtuber.|君はユーチューバーだと聞いたよ。
I've heard your songs.|君の歌が聞こえてきたことがある。
He holds a knife.|彼はナイフを握る。
He held a knife.|彼はナイフを握った。
He is holding a knife.|彼はナイフを握っている。
The knife is held by him.|そのナイフは彼に握られている。
She kept it in her bag.|彼女はそれをカバンに入れておいた。
She has kept it in her bag for years.|彼女はそれを何年もカバンに入れている。
She leads him there.|彼女が彼をそこまで導く。
She led him there.|彼女が彼をそこまで導いた。
She leaves home early.|彼女は早く家を出る。
She left home early.|彼女は早く家を出た。
She has already left home.|彼女はもう家を出ている。
He loses weight.|彼は体重を減らす。
He lost weight.|彼は体重を減らした。
Four lives were lost.|四人の命が失われた。
I'm making you happy.|君を幸せにしている途中だ。
This song makes me happy.|この歌は私を幸せにする。
I haven't made it beautiful yet.|まだそれを美しくしていない。
It means a lot.|それはとても意味がある。
I meant to be kind.|親切にしたつもりだった。
She has never met her brother.|彼女は兄に会ったことが一度もない。
I misunderstood you.|君を誤解した。
I have misunderstood you since we were children.|子どものときから君を誤解していた。
She pays one hundred yen.|彼女は100円払う。
She paid one hundred yen.|彼女は100円払った。
She has already paid a lot.|彼女はもうたくさん払っている。
Say goodbye.|さよならを言いなさい。
I left Japan without saying goodbye.|さよならを言うことなく日本を出た。
He said he would be an English teacher.|彼は英語教師になるつもりだと言った。
She sold it.|彼女はそれを売った。
It was sold here.|それはここで売られた。
He sent me a gift.|彼は贈り物を送ってくれた。
It was sent from India.|それはインドから送られた。
He sits here.|彼はここに座る。
He sat here.|彼はここに座った。
He has sat here once.|彼は一度ここに座ったことがある。
He is not sitting.|彼は座っていない。
Did you sleep well?|よく眠ったかい。
She slept well.|彼女はよく眠った。
She hasn't slept for two days.|彼女は二日眠っていない。
She spent twelve hours without knowing the fact.|彼女は事実を知らないまま12時間を過ごした。
She has spent an hour since she drank water.|彼女は水を飲んでから1時間過ごしている。
Stand up.|立て。
He stands up.|彼は立つ。
He stood up.|彼は立った。
He teaches us music.|彼は私たちに音楽を教えてくれる。
He taught us music.|彼は私たちに音楽を教えてくれた。
He was taught by her.|彼は彼女に教わった。
He tells them to be quiet.|彼は彼女たちに静かにするよう言う。
He told them to be quiet.|彼は彼女たちに静かにするよう言った。
He has told them to be quiet many times.|彼は彼女たちに静かにするよう何度も言っている。
I think he is an artist.|彼は芸術家だと私は思う。
I thought he was an artist.|彼は芸術家だと私は思った。
I haven't understood you yet.|まだ君のことを理解していないよ。
He wins every game.|彼は毎試合勝つ。
He won the game.|彼はその試合を勝った。

Have you ever been to Italy?|これまでイタリアに行ったことがあるか。
The program begins at eight every morning.|その番組は毎朝8時に始まる。
The game began.|試合が始まった。
The game has already begun.|試合はもう始まっている。
He fell down and broke his legs.|彼は転んで両足を折った。
The world record will be broken.|世界記録が破られるだろう。
He always breaks his promises.|彼はいつも約束を破る。
She chose this shirt.|彼女がこのシャツを選んだ。
This shirt was chosen for me.|私のためにこのシャツが選ばれた。
I did it!|やった！
I've already done my homework.|もう宿題をやってある。
She drew the comic.|彼女がそのマンガを描いた。
The comic was drawn by her.|そのマンガは彼女によって描かれた。
She drank a glass of water.|彼女は一杯の水を飲んだ。
She has never drunk coffee.|彼女は一度もコーヒーを飲んだことがない。
She drove a car to Tokyo.|彼女は東京までクルマを運転した。
She has driven many times.|彼女は何度も運転したことがある。
He ate too much.|彼は食べすぎた。
He has eaten it before.|彼は以前それを食べたことがある。
That ball falls faster.|そっちのボールのほうが速く落ちる。
That ball fell faster.|そっちのボールのほうが速く落ちた。
That ball has already fallen.|あのボールはもう落ちている。
A bird flies.|一羽の鳥が飛ぶ。
A bird flew.|一羽の鳥が飛んだ。
A bird is flying.|一羽の鳥が飛んでいる。
The bird has never flown.|その鳥は一度も飛んだことがない。
Don't give up.|あきらめるな。
She gave me an apple.|彼女はリンゴを一個くれた。
This apple was given by her.|このリンゴは彼女から与えられた。
He goes shopping every Saturday.|彼は毎週土曜に買い物に行く。
He went shopping yesterday.|彼はきのう買い物に行った。
He has gone to the U.K.|彼は英国に行ってしまった。
He grew old.|彼は高齢になった。
He is growing old.|彼は老けてきている。
She knew he was sleeping.|彼が眠っていることを彼女は知っていた。
She has known him for seven years.|彼女は彼を7年知っている。
She rode a bike.|彼女は自転車に乗った。
She hasn't ridden a bike for a long time.|彼女は長い間自転車に乗っていない。
The sun rises in the east and sets in the west.|太陽は東で昇り西で沈む。
The sun rose.|太陽が昇った。
The sun has already risen.|太陽がもう昇っている。
He saw her there.|彼はそこで彼女を見た。
He has seen her twice.|彼は彼女に二度会ったことがある。
Show me your hands.|両手を見せろ。
He showed me his hands.|彼は私に両手を見せた。
It is shown below.|それは以下に示されている。
I'm singing a song.|歌を歌っているところだ。
I sang songs.|私は歌を歌った。
I have never sung the song.|その歌を歌ったことは一度もない。
The ship sank.|その船は沈んだ。
Speak English here.|ここでは英語を話せ。
English is spoken here.|ここでは英語が話されている。
She spoke English.|彼女は英語を話した。
He stole my heart.|彼は私の心を盗んだ。
My heart was stolen.|私の心は盗まれた。
He steals a base when he can.|できるとき彼は盗塁する。
She swam in the sea.|彼女は海で泳いだ。
She has swum in the sea many times.|彼女は何度も海で泳いだことがある。
She is swimming.|彼女は泳いでいるところだ。
He took her to the station.|彼は彼女を駅に連れていった。
She was taken to the station by him.|彼女は彼によって駅まで連れていかれた。
Throw the ball.|そのボールを投げろ。
The ball was thrown by her.|そのボールは彼女によって投げられた。
She threw the ball.|彼女はそのボールを投げた。
He woke up.|彼は目が覚めた。
He has not woken up yet.|彼はまだ目が覚めていない。
Students have to wear uniforms.|生徒たちは制服を着なければいけない。
He wore his shoes.|彼は自分のクツをはいた。(「着た」と同じ語)
He has worn this shirt for ten years.|彼はこのシャツを10年着ている。
She wrote the letter.|彼女はその手紙を書いた。
Those books were written by her.|あれらの本は彼女によって書かれた。
